run_id,C,class_weight,ngram_range,min_df,max_features,best_threshold,dev_spam_f1,dev_spam_recall,default_test_accuracy,default_test_spam_precision,default_test_spam_recall,default_test_spam_f1,test_accuracy,test_macro_f1,test_spam_precision,test_spam_recall,test_spam_f1,test_total_errors,test_false_positive,test_false_negative,run_dir
svc_c1_0_ng12_min2,1.0,balanced,"[1, 2]",2,50000,-0.21723422735513023,0.9776785714285714,0.9864864864864865,0.9832689832689833,0.9771689497716894,0.963963963963964,0.9705215419501134,0.9794079794079794,0.9750413568250806,0.9478260869565217,0.9819819819819819,0.9646017699115044,16,12,4,experiments\linear_svc\runs\svc_c1_0_ng12_min2
svc_c1_0_ng13_min2,1.0,balanced,"[1, 3]",2,80000,-0.19619401643568238,0.9776785714285714,0.9864864864864865,0.9845559845559846,0.9772727272727273,0.9684684684684685,0.9728506787330317,0.9781209781209781,0.9735159487762479,0.9437229437229437,0.9819819819819819,0.9624724061810155,17,13,4,experiments\linear_svc\runs\svc_c1_0_ng13_min2
svc_c1_0_ng12_min1,1.0,balanced,"[1, 2]",1,80000,-0.24075724717436758,0.9732142857142857,0.9819819819819819,0.9819819819819819,0.9770642201834863,0.9594594594594594,0.9681818181818181,0.9781209781209781,0.9735159487762479,0.9437229437229437,0.9819819819819819,0.9624724061810155,17,13,4,experiments\linear_svc\runs\svc_c1_0_ng12_min1
svc_c2_0_ng12_min2,2.0,balanced,"[1, 2]",2,50000,-0.2167236030078961,0.9732142857142857,0.9819819819819819,0.9832689832689833,0.9771689497716894,0.963963963963964,0.9705215419501134,0.9781209781209781,0.9734467376817508,0.9475982532751092,0.9774774774774775,0.9623059866962306,17,12,5,experiments\linear_svc\runs\svc_c2_0_ng12_min2
svc_c0_5_ng12_min2,0.5,balanced,"[1, 2]",2,50000,-0.21058263759655507,0.9732142857142857,0.9819819819819819,0.9832689832689833,0.9728506787330317,0.9684684684684685,0.9706546275395034,0.9768339768339769,0.9719215264282158,0.9434782608695652,0.9774774774774775,0.9601769911504425,18,13,5,experiments\linear_svc\runs\svc_c0_5_ng12_min2
