run_id,C,class_weight,ngram_range,min_df,max_features,best_threshold,dev_spam_f1,dev_spam_recall,test_accuracy,test_macro_f1,test_spam_precision,test_spam_recall,test_spam_f1,test_total_errors,test_false_positive,test_false_negative,run_dir
lr_c1_0_ng12_min2,1.0,balanced,"[1, 2]",2,50000,0.48,0.9571106094808126,0.954954954954955,0.9768339768339769,0.9716216216216216,0.9594594594594594,0.9594594594594594,0.9594594594594594,18,9,9,experiments\logistic_regression\runs\lr_c1_0_ng12_min2
lr_c2_0_ng12_min2,2.0,balanced,"[1, 2]",2,50000,0.45,0.963963963963964,0.963963963963964,0.9742599742599742,0.9685532045782002,0.9508928571428571,0.9594594594594594,0.9551569506726457,20,11,9,experiments\logistic_regression\runs\lr_c2_0_ng12_min2
lr_c1_0_ng13_min2,1.0,balanced,"[1, 3]",2,80000,0.46,0.9617977528089887,0.963963963963964,0.972972972972973,0.9671124368884096,0.9427312775330396,0.963963963963964,0.9532293986636972,21,13,8,experiments\logistic_regression\runs\lr_c1_0_ng13_min2
lr_c0_5_ng12_min2,0.5,balanced,"[1, 2]",2,50000,0.5,0.9523809523809523,0.9459459459459459,0.9703989703989704,0.9636895969506657,0.9502262443438914,0.9459459459459459,0.9480812641083521,23,11,12,experiments\logistic_regression\runs\lr_c0_5_ng12_min2
lr_c1_0_ng12_min1,1.0,balanced,"[1, 2]",1,80000,0.46,0.9573033707865168,0.9594594594594594,0.9678249678249679,0.9608481391528686,0.933920704845815,0.954954954954955,0.9443207126948775,25,15,10,experiments\logistic_regression\runs\lr_c1_0_ng12_min1
